genero,especie,numero,fechapol,fechamad,codigo,ubicacion,responsable,cantidad,disponible,archivo_origen
Masdevallia,Confetti,B-007227,30-may-23,27-sep-23,PRH3827,V-16 M-3A,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Dendrobium,violaceum f. purple L,B-006748,24-oct-22,24-oct-22,PIS3833,V-0,ALEX PORTILLA,1,0,SIBBLING_STEFY.XLS
Dendrobium,violaceum x purple L,B-006860,24-oct-22,24-oct-22,PIS3833,V-0,,1,0,SIBBLING_STEFY.XLS
Dendrobium,violaceum var. cyperifolium L,B-004565,20-Aug-18,20-Aug-18,PIS3833,V-0,PORTILLA IVAN,1,0,SIBBLING_STEFY.XLS
Dendrobium,violaceum ('Ecuagenera' f. purple x f. blue),B-008736,14-oct-24,14-oct-24,PIS3833,V-0,ALEX PORTILLA,1,0,SIBBLING_STEFY.XLS
Dendrobium,sanderae 001985,B-000644,19-oct-11,18-oct-12,PIS3836,V-16 M-2E,CARLOS GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,sanderae major Ivan 003128,B-000730,14-jul-12,15-feb-13,PIS3836,V-16 M-5A,CARLOS GUACHISACA,2,0,SIBBLING_STEFY.XLS
Dendrobium,henryi 002861,B-000546,07-feb-12,14-Aug-12,PIS3839,V-16 M-1F,ANGEL GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,goldschmidtianum (miyakei) x sib ('T3' x 'Hsinying'),B-000920,06-Aug-12,23-jul-13,PIS3841,V-5 M-3B,ANGEL GUACHISACA,3,0,SIBBLING_STEFY.XLS
Dendrobium,trantuanii,B-001603,23-may-14,09-Dec-14,PIS3842,V-5 M-3B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Sophronitis,alagoensis,B-003113,15-Apr-17,04-jul-17,PRS3846,V-6 M-4B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Sophronitis,alagoensis,B-003097,15-Apr-17,20-jun-17,PRS3846,V-6 M-4B,CARLOS GUACHISACA,1,0,SIBBLING_STEFY.XLS
Dendrobium,laevifolium,B-002542,15-Jan-16,15-Jan-16,PIS3847,V-0,,1,0,SIBBLING_STEFY.XLS
Dendrobium,laevifolium,B-002286,08-Aug-15,08-Aug-15,PIS3847,V-0,,1,0,SIBBLING_STEFY.XLS
Dendrobium,fulgidum,B-005064,09-Jan-19,09-Jan-19,PIS3848,V-0,PORTILLA IVAN,1,0,SIBBLING_STEFY.XLS
Dendrobium,fulgidum 002783,B-000516,23-feb-12,31-jul-12,PIS3848,V-16 M-5A,CARLOS GUACHISACA,14,0,SIBBLING_STEFY.XLS
Dendrobium,chrysopterum L,B-006527,19-Jan-21,19-Jan-21,PIS3849,V-0,ANGEL GUACHISACA,1,0,SIBBLING_STEFY.XLS
