genero,especie,numero,fechapol,fechamad,codigo,ubicacion,responsable,cantidad,disponible,archivo_origen
Aciopea,Gunter Gerlach,H-000208,08-oct-10,07-Dec-10,PRH0006,V-16 M-1F,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Brassia,Leopardo,H-000238,08-oct-10,07-Dec-10,PRH0020,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Ada,Beverston Castle,H-000255,08-oct-10,07-Dec-10,PRH0021,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Brassia,Bridget Beattie,H-000237,08-oct-10,07-Dec-10,PRH0022,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Brassia,Chuck Hanson,H-000210,08-oct-10,07-Dec-10,PRH0023,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Adaglossum,Gualaceo,H-000239,08-oct-10,07-Dec-10,PRH0025,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Oncidium,Lois Posey,H-000240,08-oct-10,07-Dec-10,PRH0170,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Oncidium,Lois Posey,H-000582,20-nov-12,27-may-13,PRH0170,V-15 M-3C,CARLOS GUACHISACA,6,0,HIBRID_STEFY.XLS
Coryhopea,Cutucu,H-000250,08-oct-10,07-Dec-10,PRH0186,V-21 M-2A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtochilum,Marisa Claire,H-000256,08-oct-10,07-Dec-10,PRH0229,V-9 M-10C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtollaria,Increible,H-000214,08-oct-10,07-Dec-10,PRH0232,V-9 M-10C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtoglossum,Ken Meier,H-000213,08-oct-10,07-Dec-10,PRH0233,V-9 M-10C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtochilum,Shirley Dunkelberger,H-000211,08-oct-10,07-Dec-10,PRH0241,V-15 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtochilum,Anita De Cordero,H-000228,08-oct-10,07-Dec-10,PRH0245,V-16 M-5B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Dracuvallia,Tristesita,H-000215,08-oct-10,07-Dec-10,PRH0310,V-9 M-8B P-D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Dracuvallia,Gualaquiza,H-000251,08-oct-10,07-Dec-10,PRH0325,V-15 M-2B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Epidendrum,Crystal Valley,H-000257,08-oct-10,07-Dec-10,PRH0418,V-17 M-2D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Epidendrum,Michael Riley,H-000216,08-oct-10,07-Dec-10,PRH0441,V-9 P-C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillacaste,Heinz Michael Pinkepank,H-000268,08-oct-10,07-Dec-10,PRH0754,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Machu Picchu,H-000258,08-oct-10,07-Dec-10,PRH0799,V-15 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Anochecer,H-000244,08-oct-10,07-Dec-10,PRH0973,V-9 M-2A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Paola Medina,H-000232,08-oct-10,07-Dec-10,PRH1002,V-15 M-1C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Sueno Lindo,H-000219,08-oct-10,07-Dec-10,PRH1044,V-10 M-1A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Estera Hanson,H-000245,08-oct-10,07-Dec-10,PRH1069,V-18 M-1D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Macas,H-000260,08-oct-10,07-Dec-10,PRH1109,V-16 M-5E,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Paloma,H-000220,08-oct-10,07-Dec-10,PRH1125,V-18 M-1B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,La Cuencanita,H-000235,08-oct-10,07-Dec-10,PRH1142,V-17 M-1D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Fabricio Suarez,H-000246,08-oct-10,07-Dec-10,PRH1143,V-17 M-1D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Sangay,H-000261,08-oct-10,07-Dec-10,PRH1164,V-9 M-7B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Jinsop Medina,H-000247,08-oct-10,07-Dec-10,PRH1181,V-15 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtocidium,Steve Beckendorf,H-000241,08-oct-10,07-Dec-10,PRH1252,V-15 M-1B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Lockcidium,Norris William,H-000243,08-oct-10,07-Dec-10,PRH1253,V-15 M-1B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Odontoglossum,Cynthia Hill,H-000248,08-oct-10,07-Dec-10,PRH1254,V-15 M-1B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Odontoglossum,Crawshayanum,H-000262,08-oct-10,07-Dec-10,PRH1267,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Odontoglossum,Blanquisco,H-000221,08-oct-10,07-Dec-10,PRH1279,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Oncidium,Christopher Merino,H-000054,09-feb-10,12-feb-10,PRH1287,V-9 M-6B,JHON VALLE,1,0,HIBRID_STEFY.XLS
Oncidium,Luis Salazar,H-000249,08-oct-10,07-Dec-10,PRH1290,V-16 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Phragmipedium,Maria Glanz,H-000267,08-oct-10,07-Dec-10,PIH1372,V-9 M-3A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Phragmipedium,Olaf Gruss,H-000263,08-oct-10,07-Dec-10,PIH1376,V-9 M-7B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Phragmipedium,Hanne Popow,H-000264,08-oct-10,07-Dec-10,PRH1377,V-9 M-7B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Pleurothallis,Bev Debrincat,H-000253,08-oct-10,07-Dec-10,PRH1595,V-16 M-4E,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Stanhopea,Betty De Tosi,H-000227,08-oct-10,07-Dec-10,PIH1812,V-16 M-1F,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Trichopilia,Becky Unruh,H-000242,08-oct-10,07-Dec-10,PRH1931,V-9 M-10C,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Brassidium,John Dunkelberger (2008),H-000209,08-oct-10,07-Dec-10,PRH2813,V-9 M-8B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Snow Cone,H-000269,08-oct-10,07-Dec-10,PRH2814,V-16 M-2A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cyrtochilum,Sol De La Mañana,H-000212,08-oct-10,07-Dec-10,PRH2815,V-15 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cymbidium,Green N H K 8140,H-000073,24-feb-09,21-Dec-09,PIH2957,V-23 M-11A,GERARDO GUACHISACA,1,0,HIBRID_STEFY.XLS
Cymbidium,Pure Love 'razzie Dazzie' x Karen Impizie,H-000081,29-jun-09,26-mar-10,PIH3140,V-23 M-10B,JHON VALLE,2,0,HIBRID_STEFY.XLS
Masdevallia,Anai,H-000230,08-oct-10,07-Dec-10,PRH3554,V-15 M-1B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Phragmipedium,Machelle Hershey,H-000265,08-oct-10,07-Dec-10,PRH3594,V-16 M-4E,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Padre Jorge Moreno,H-000236,08-oct-10,07-Dec-10,PRH3686,V-9 M-5B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Maxillaria,Jorge Enriquez,H-000234,08-oct-10,07-Dec-10,PRH3687,V-18 M-1B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Amancay,H-000224,08-oct-10,07-Dec-10,PRH3993,V-10 M-3A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Pleurothallis,Tumbez,H-000252,08-oct-10,07-Dec-10,PRH4228,V-9 M-7B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Lycaste,Sol de Mediodía,H-000164,08-jun-10,08-jun-11,PRH4251,V-4 M-4A,,1,0,HIBRID_STEFY.XLS
Otohartia,Sueno Amarillo,H-000217,08-oct-10,07-Dec-10,PRH4487,V-16 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Lycaste,Memoria Olga Anton,H-000206,08-oct-10,07-Dec-10,PRH4710,V-9 M-6B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Lycaste,Gladys Eljuri,H-000207,08-oct-10,07-Dec-10,PRH4711,V-16 M-5E,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Odontioda,Nationwood x Odm. nobile,H-000116,11-jun-09,06-feb-10,PRH4746,V-18 M-2A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Masdevallia,Betsy Portilla,H-000231,08-oct-10,07-Dec-10,PRH4912,V-10 M-1A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Don Cuni,H-000225,08-oct-10,07-Dec-10,PRH4936,V-9 M-1A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Masdevallia,Enrique Leon,H-000226,08-oct-10,07-Dec-10,PRH5029,V-16 M-2A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Dendrobium,Elizabeth,H-000059,18-feb-10,19-may-10,PRH5440,V-1 M-1A,JHON VALLE,10,0,HIBRID_STEFY.XLS
Masdevallia,colossus x Masd. hirtzii,H-000002,31-oct-09,29-Apr-10,PRH5789,V-19 M-1A,RAMON NELSON,1,0,HIBRID_STEFY.XLS
Pleurothallis,inornata x Pleurothallis marthae,H-000003,06-oct-09,04-Apr-10,PRH5790,V-19 M-1A,RAMON NELSON,3,0,HIBRID_STEFY.XLS
Cymbidium,Zenit 2 x  Cymbidium Zenit 1,H-000005,23-jun-09,18-feb-10,PRH5792,V-23 M-11B,NARCISA CAJAMARCA,2,0,HIBRID_STEFY.XLS
Cymbidium,Verde Limon Nk x Cym  Kk581 Koushu Dream Irish,H-000006,23-jun-09,18-feb-10,PRH5793,V-19 M-11B,NARCISA CAJAMARCA,2,0,HIBRID_STEFY.XLS
Cymbidium,Verde Limon Nk x Cym  La511 Mighty Tracy Moon Walk,H-000007,23-jun-09,18-feb-10,PRH5794,V-23 M-11B,NARCISA CAJAMARCA,2,0,HIBRID_STEFY.XLS
Cymbidium,Ja610 Ec x Leopardo Ec,H-000008,23-jun-09,18-feb-10,PRH5795,V-19 M-11B,NARCISA CAJAMARCA,2,0,HIBRID_STEFY.XLS
Cymbidium,1923 Ec x Cym Sol Naciente 660 Ec,H-000009,23-jun-09,20-Dec-09,PRH5796,V-23 M-11B,NARCISA CAJAMARCA,3,0,HIBRID_STEFY.XLS
Cymbidium,Lagrimas De Sangre Ec x Cym Sol Naciente 660 Ec,H-000013,23-jun-09,20-Dec-09,PRH5799,V-23 M-11B,NARCISA CAJAMARCA,1,0,HIBRID_STEFY.XLS
Milmiltonia,Fire Watler Butterfly x Miltonia Mr 272,H-000014,07-nov-09,06-may-10,PRH5800,V-15 M-1A,ANGEL GUACHISACA,2,0,HIBRID_STEFY.XLS
Zygopetalum,Titanic Pinafer x Zba.beenak Jester x Z R10 Red Vale P,H-000016,21-jul-09,21-jul-09,PRH5802,V-15 M-3A,ANGEL GUACHISACA,1,0,HIBRID_STEFY.XLS
Vuylstekeara,Or-295 x Odontioda Anna Claire,H-000017,04-sep-09,03-Apr-10,PRH5803,V-15 M-3A,JHON VALLE,2,0,HIBRID_STEFY.XLS
Miltonia,Eastern Bay Claret Punch x Miltonia Mr272,H-000018,30-sep-09,29-mar-10,PRH5804,V-15 M-1A,ANGEL GUACHISACA,2,0,HIBRID_STEFY.XLS
Miltoniopsis,Arthur Cobbledick x Miltoniopsis Firewater Butterfly,H-000019,25-oct-09,23-Apr-10,PRH5805,V-15 M-1A,ANGEL GUACHISACA,3,0,HIBRID_STEFY.XLS
Miltoniopsis,Limelight Imogene x Miltonia Hibrida 20-1 Ec,H-000020,16-sep-09,15-mar-10,PRH5806,V-15 M-1A,ANGEL GUACHISACA,2,0,HIBRID_STEFY.XLS
Miltoniopsis,Arthur Cobbledick x Miltnps. Gualaceo,H-000021,23-oct-09,21-Apr-10,PRH5807,V-15 M-1A,ANGEL GUACHISACA,2,0,HIBRID_STEFY.XLS
Miltoniopsis,Arthur Cobbledick x Miltnps. Gualaceo,H-000183,14-oct-09,04-oct-10,PRH5807,V-15 M-1A,GERARDO GUACHISACA,2,0,HIBRID_STEFY.XLS
Miltoniopsis,Arthur Cobbledick x Miltnps. Gualaceo,H-000125,14-oct-09,13-mar-10,PRH5807,V-15 M-1A,JHON VALLE,2,0,HIBRID_STEFY.XLS
Lycaste,Shonan Melody x Bollea ecuatoriana,H-000022,12-mar-09,14-feb-14,PRH5808,V-15 M-1A,ANGEL GUACHISACA,1,0,HIBRID_STEFY.XLS
Odontioda,Margarete Holm x Odontioda Anna Claire,H-000023,14-sep-09,13-mar-10,PRH5809,V-15 M-1A,ANGEL GUACHISACA,3,0,HIBRID_STEFY.XLS
Odontioda,Margarete Holm x Odontioda Anna Claire,H-000185,14-sep-09,11-oct-10,PRH5809,V-15 M-3A,CARLOS GUACHISACA,1,0,HIBRID_STEFY.XLS
Odontioda,Margarete Holm x Odontioda Anna Claire,H-000191,14-sep-09,19-oct-10,PRH5809,V-15 M-3A,GERARDO GUACHISACA,1,0,HIBRID_STEFY.XLS
Milmiltonia,Mr 272 x Miltoniopsis Anahi,H-000024,27-sep-09,26-mar-10,PRH5810,V-15 M-1A,ANGEL GUACHISACA,2,0,HIBRID_STEFY.XLS
Miltoniopsis,Mr 272 x Miltnps. Play Girl Cha-cha,H-000025,29-Aug-09,25-feb-10,PRH5811,V-15 M-1A,ANGEL GUACHISACA,5,0,HIBRID_STEFY.XLS
Maxillaria,molitor x Max. striata,H-000027,09-mar-09,05-sep-09,PRH5818,V-18 M-1A,JIMMY MORENO,1,0,HIBRID_STEFY.XLS
Miltoniopsis,Myr276 x Miltnps. Mauil Mist Red Beauty,H-000028,29-Aug-09,25-feb-10,PRH5819,V-15 M-1A,GERARDO GUACHISACA,3,0,HIBRID_STEFY.XLS
Milmiltonia,M116 Eastern Bay Russian x Miltoniopsis Caracol,H-000030,28-sep-09,27-mar-10,PRH5820,V-15 M-1A,GERARDO GUACHISACA,2,0,HIBRID_STEFY.XLS
Miltoniopsis,Mary Sugiyama x Miltoniopsis Fire Watler Butterfly,H-000032,13-nov-09,28-nov-09,PRH5821,V-15 M-1A,GERARDO GUACHISACA,3,0,HIBRID_STEFY.XLS
Miltoniopsis,Diners,H-000033,13-nov-09,12-may-10,PRH5822,V-15 M-1A,GERARDO GUACHISACA,1,0,HIBRID_STEFY.XLS
Miltonia,Cordero De Oro x Miltonia  M119 Butterfly M 119,H-000034,13-nov-09,12-may-10,PRH5823,V-15 M-1A,GERARDO GUACHISACA,2,0,HIBRID_STEFY.XLS
Masdevallia,Morenita,H-000218,08-oct-10,07-Dec-10,PRH5938,V-15 M-3B,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cymbidium,Fresita Big Especial x Cym Costa Mesa Sunset,H-000035,12-Aug-09,08-feb-10,PRH5953,V-23 M-10B,NARCISA CAJAMARCA,1,0,HIBRID_STEFY.XLS
Cymbidium,Fresa Fresca x Cym Red Baker Carmen Solano Beach,H-000036,11-Aug-09,07-feb-10,PRH5955,V-23 M-10B,NARCISA CAJAMARCA,4,0,HIBRID_STEFY.XLS
Cymbidium,Nevalo Lindo x Cym Chistmas Joy Robert,H-000037,23-jun-09,20-Dec-09,PRH5964,V-23 M-11B,NARCISA CAJAMARCA,3,0,HIBRID_STEFY.XLS
Cymbidium,Anahi Ec x Cymb. Lagrimas De Sangre Ec,H-000038,23-jun-09,20-Dec-09,PRH5996,V-23 M-11B,NARCISA CAJAMARCA,3,0,HIBRID_STEFY.XLS
Cymbidium,Mary Rosa x Cym Kirby Leish Lonsdale,H-000039,12-jun-09,09-Dec-09,PRH5997,V-23 M-11B,NARCISA CAJAMARCA,2,0,HIBRID_STEFY.XLS
Cymbidium,Wesley Davison Shiraz x  Cym Kt575 Lovely Smile,H-000040,12-jun-09,09-Dec-09,PRH5998,V-23 M-11B,NARCISA CAJAMARCA,2,0,HIBRID_STEFY.XLS
Cymbidium,Chirstmas Joy Robert x Cym  Lkirby Leish Lonsdale,H-000042,28-jun-09,25-Dec-09,PRH6000,V-23 M-11B,NARCISA CAJAMARCA,1,0,HIBRID_STEFY.XLS
Cymbidium,Pagan Gold Nugget x  Cym La511 Mighty Tracey,H-000068,24-may-09,18-feb-10,PRH6003,V-23 M-11B,JHON VALLE,1,0,HIBRID_STEFY.XLS
Cymbidium,Globbe,H-000082,13-jun-09,10-mar-10,PRH6012,V-23 M-11B,JHON VALLE,1,0,HIBRID_STEFY.XLS
Cymbidium,Sol Naciente 660 Ec x Cym Globbe,H-000010,12-jun-09,09-Dec-09,PRH6013,V-23 M-11B,NARCISA CAJAMARCA,3,0,HIBRID_STEFY.XLS
Cymbidium,Sol Naciente 660 Ec x Cym Globbe,H-000051,29-Jan-10,28-jul-10,PRH6013,V-23 M-11A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Doritaenopsis,Ecuagenera x Doritaenopsis Minho Princess Sj,H-000064,19-feb-09,18-Aug-09,PRH6020,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Cymbidium,Kimberley Meadows 'green Beret' x Glass Solano Beach x Baltre Hsb,H-000043,24-Apr-09,21-oct-09,PRH6073,V-23 M-11B,NARCISA CAJAMARCA,1,0,HIBRID_STEFY.XLS
Doritaenopsis,112 x Doritarnopsis 582,H-000045,10-sep-09,09-Dec-09,PRH6082,V-4 M-1A,ULLOA JACINTO,2,0,HIBRID_STEFY.XLS
Phalaenopsis,Ramillete x Phalaenopsis Estrellita,H-000046,26-Aug-09,24-Dec-09,PRH6083,V-4 M-1A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Phalaenopsis,Hsin Spotted Deer x Phalaenopsis Estrella Del Mar,H-000047,17-jul-09,13-may-10,PRH6084,V-4 M-1A,ULLOA JACINTO,2,0,HIBRID_STEFY.XLS
Phalaenopsis,Peach Spotted x Phalaenopsis Pink Spotted,H-000048,07-oct-09,05-Jan-10,PRH6085,V-4 M-1A,ULLOA JACINTO,2,0,HIBRID_STEFY.XLS
Miltoniopsis,Mariposa De Verano x Miltoniopsis Anahí,H-000049,07-nov-09,06-may-10,PRH6090,V-15 M-1B,ULLOA JACINTO,2,0,HIBRID_STEFY.XLS
Cymbidium,Sol y Luna x Cym Relampago De Oro,H-000041,12-jun-09,09-Dec-09,PRH6091,V-23 M-11B,NARCISA CAJAMARCA,3,0,HIBRID_STEFY.XLS
Cymbidium,8145 x Cym Vino De Llampasay,H-000050,12-jun-09,09-Dec-09,PRH6190,V-23 M-7C,ULLOA JACINTO,2,0,HIBRID_STEFY.XLS
Acronia,cutucuensis x Pleurothallis canaligera,H-000052,06-oct-09,04-Apr-10,PRH6191,V-19 M-1A,ULLOA JACINTO,2,0,HIBRID_STEFY.XLS
Masdevallia,Copper Angel x Masdevallia decumana,H-000053,05-Jan-09,08-Aug-10,PRH6202,V-18 M-1D,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cattleya,Tainan City 'General',H-000105,08-mar-08,04-sep-08,PIH6205,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Dendrobium,Paola,H-000060,18-feb-10,19-may-10,PIH6242,V-1 M-1A,,1,0,HIBRID_STEFY.XLS
Doritaenopsis,Joy Angel Voice Selene x Drtps Mishima Leopar,H-000058,11-sep-09,10-mar-10,PRH6288,V-1 M-1A,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Laeliocattleya,lueddemanniana x Laelia pumila,H-000061,18-feb-10,19-may-10,PRH6309,V-5 M-13A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Doritaenopsis,Taisuco Fire Bird x Phal. Mariposa Ec,H-000062,08-Aug-09,04-feb-10,PRH6366,V-5 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Phalaenopsis,Hsin Cesame # 1 x Phal Red Pink,H-000065,07-oct-09,14-feb-10,PRH6384,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Ascocenda,Pink Lady x Ascda Orange Spoted,H-000066,07-Aug-09,13-feb-10,PRH6387,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Ascocenda,Mini Gold x Vanda Tangerine,H-000067,01-may-09,15-feb-10,PRH6390,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Cymbidium,Kuralta Park Tennyson x Eyoe 4n,H-000069,12-jun-09,17-feb-10,PRH6392,V-23 M-11B,JHON VALLE,4,0,HIBRID_STEFY.XLS
Cymbidium,Estrella De Oro x Red Vale Bayswater Scented,H-000070,26-jun-09,21-feb-10,PRH6403,V-23 M-11A,ULLOA JACINTO,3,0,HIBRID_STEFY.XLS
Cymbidium,Leodogran 'Villa Park',H-000071,24-feb-09,21-Dec-09,PIH6471,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Dendrobium,Lolita x Paola,H-000072,08-Aug-09,14-feb-10,PRH6473,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Cymbidium,Ecuagenera,H-000074,24-Apr-09,18-feb-10,PRH6484,V-23 M-11B,JHON VALLE,1,0,HIBRID_STEFY.XLS
Milmiltonia,Eastern Bay Claret Punch x Miltoniopsis Play Girl Cha-cha,H-000075,29-sep-09,28-mar-10,PRH6485,V-15 M-1B,ULLOA JACINTO,3,0,HIBRID_STEFY.XLS
Potinara,Nonthaburi Fancy Lili x Potinara Thalia,H-000076,25-feb-10,23-oct-10,PRH6505,V-1 M-1A,,1,0,HIBRID_STEFY.XLS
Brassolaeliocattleya,Golden Triumph-destiny x Lc. Memoria Sangah Chit,H-000077,25-feb-10,31-Jan-11,PRH6511,V-1 M-1A,,1,0,HIBRID_STEFY.XLS
Cymbidium,Tiana Ec x Cym. Applejack ' Solona Beach',H-000079,12-jun-09,09-mar-10,PRH6531,V-1 M-1A,JHON VALLE,3,0,HIBRID_STEFY.XLS
Cymbidium,Tiana Ec x Cym. Applejack ' Solona Beach',H-000078,03-jun-09,09-mar-10,PRH6531,V-23 M-10B,JHON VALLE,2,0,HIBRID_STEFY.XLS
Cymbidium,Ecuagenera I I,H-000080,12-jun-09,09-mar-10,PRH6533,V-23 M-11A,JHON VALLE,2,0,HIBRID_STEFY.XLS
Cymbidium,Globbe x Chocolate Oscuro Ec,H-000083,16-jun-09,13-mar-10,PRH6536,V-23 M-10A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Cymbidium,Santiago De Gualaceo Ec x Gotitas De Chocolate Ec,H-000084,23-jun-09,20-mar-10,PRH6537,V-23 M-11A,JHON VALLE,3,0,HIBRID_STEFY.XLS
Cymbidium,Morlaquita Ec  x Mary Rosa Ec,H-000085,12-jun-09,09-mar-10,PRH6538,V-23 M-11B,JHON VALLE,2,0,HIBRID_STEFY.XLS
Cymbidium,Kimberly Harvest 'Burnt Gold'  x Mariposa (hp),H-000086,20-may-09,16-mar-10,PRH6539,V-23 M-11B,JHON VALLE,1,0,HIBRID_STEFY.XLS
Doritaenopsis,Joy Angel Voice Selene x Golden Peoker,H-000087,09-Aug-09,06-Jan-10,PRH6540,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Phalaenopsis,Estrellita  x Hsinying Mount x Hsiying,H-000088,17-jul-09,14-Dec-09,PRH6544,V-4 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Phragmipedium,Ruby Slippers x,H-000089,19-sep-09,16-feb-10,PRH6545,V-16 M-4E,JHON VALLE,1,0,HIBRID_STEFY.XLS
Miltoniopsis,Keiko Komoda x Milt Fire Watler Butterfly,H-000090,27-nov-09,26-may-10,PRH6546,V-15 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Doritaenopsis,Whie Spotted Marcelo X Phal White Hibrida # 16,H-000091,11-sep-09,08-feb-10,PRH6550,V-1 M-1A,GERARDO GUACHISACA,1,0,HIBRID_STEFY.XLS
Phalaenopsis,Rosada Splash Ec x Phal. Spring Dance Orchis,H-000092,07-sep-09,04-feb-10,PRH6551,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Cymbidium,Ecuagenera I I I,H-000093,28-jun-09,23-feb-10,PRH6554,V-23 M-11B,JHON VALLE,1,0,HIBRID_STEFY.XLS
Vanda,Thongchai  4n x Bitz's Hearthrob,H-000094,03-mar-09,29-oct-10,PRH6557,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Vanda,El Azuay,H-000095,06-jul-09,01-feb-10,PRH6558,V-1 M-1A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Cymbidium,Gualaceo Sunset (hp) x Cymb. Relampago De Oro,H-000096,13-jul-09,19-feb-10,PRH6559,V-23 M-11B,JHON VALLE,2,0,HIBRID_STEFY.XLS
Cattleya,Marcela Aguinaga,H-000222,08-oct-10,07-Dec-10,PRH6560,V-16 M-2E,ULLOA JACINTO,1,0,HIBRID_STEFY.XLS
Cattleya,Joe Rives,H-000097,18-Apr-09,23-Jan-10,PRH6570,V-16 M-3A,JHON VALLE,1,0,HIBRID_STEFY.XLS
Laeliocattleya,Ivan Portilla,H-000099,18-Apr-09,23-Jan-10,PRH6572,V-4 M-6B,JHON VALLE,1,0,HIBRID_STEFY.XLS
Stanhopea,gibbosa x Stan.nigra x Hlt.wallisii,H-000100,21-feb-09,20-Aug-09,PRH6573,V-16 M-2E,JHON VALLE,1,0,HIBRID_STEFY.XLS
Houcineta,superba x Hlt. wallisii,H-000102,05-mar-08,01-sep-08,PRH6579,V-16 M-4E,,1,0,HIBRID_STEFY.XLS
Epidendrum,atacazoicum x Epid. Cosmo Dream Color x Epid. Joseph Glow,H-000103,30-oct-08,28-Apr-09,PRH6582,V-9 M-10C,JHON VALLE,1,0,HIBRID_STEFY.XLS
Lycaste,Outum x Lycaste lasioglossa,H-000104,08-mar-10,03-mar-11,PRH6586,V-1 M-1A,,1,0,HIBRID_STEFY.XLS
Laeliocattleya,Tropical Pointer Suwada x C. luteola,H-000106,10-mar-08,05-nov-08,PRH6598,V-5 M-7B,JHON VALLE,1,0,HIBRID_STEFY.XLS
Vanda,Thongchai  4n x  V. Bitz's Hearthrob x V. Laybrids. 'vanda Carlos',H-000107,10-mar-10,05-nov-10,PRH6605,V-1 M-1A,,3000,0,HIBRID_STEFY.XLS
Laeliocattleya,labiata pure Marco 93 x Lc. Melody Fair Mishima 'lc. Miss Gaby',H-000108,10-mar-10,05-nov-10,PRH6607,V-1 M-1A,,1,0,HIBRID_STEFY.XLS
Sophrocattleya,Morning Glow x Sophronitis. coccinea,H-000109,10-mar-08,10-mar-10,PRH6609,V-4 M-6B,JHON VALLE,1,0,HIBRID_STEFY.XLS
