F.SIEMBRA;CODIGO;ESPECIE;CLIMA;UBICACI;RESPONSABLE;S.VANA;S.STOCK;C.SOLIC;DISPONE;F.GERMI;E.CAPSU
5/4/2016;PIS4346        ;Acianthera oscitans;Intermedio ;P-101 N-F   ;MANUEL RUIZ         ;  ;0;600;0;6/5/2016;Abierta   
30/12/2014;PRS1536-002    ;Acianthera pantasmoides 002816 x self;Cool ;P-116 N-E   ;MANUEL RUIZ         ;  ;1;400;0;-;Cerrada   
31/7/2015;PIS8999        ;Acianthera pectinata;Warm ;P-          ;                    ;  ;1;1500;0;-;Abierta   
25/8/2015;PIS8999        ;Acianthera pectinata;Warm ;P-          ;                    ;  ;1;1500;0;-;Abierta   
27/2/2016;PIS8999        ;Acianthera pectinata;Warm ;P-          ;                    ;  ;0;1500;0;-;Abierta   
7/7/2015;PIS8999        ;Acianthera pectinata;Warm ;P-101 N-D   ;MANUEL RUIZ         ;  ;0;1500;0;14/8/2015;Cerrada   
16/2/2012;PRS3396        ;Acianthera polystachya;Intermedio ;P-116 N-A   ;ANTONIO TENELANDA   ;  ;1;500;0;-;Cerrada   
18/2/2015;PRS3396        ;Acianthera polystachya;Intermedio ;P-101 N-A   ;MANUEL RUIZ         ;  ;0;500;0;-;Abierta   
4/3/2015;PRS3396        ;Acianthera polystachya;Intermedio ;P-116 N-D   ;MANUEL RUIZ         ;  ;0;500;0;-;Abierta   
13/4/2015;PRS3396        ;Acianthera polystachya;Intermedio ;P-          ;                    ;SI;0;500;0;-;Abierta   
24/4/2015;PRS3396        ;Acianthera polystachya;Intermedio ;P-116 N-A   ;MANUEL RUIZ         ;  ;0;500;0;-;Cerrada   
20/9/2024;PRS3396-018    ;Acianthera polystachya (Autopoli);Intermedio ;P-101 N-F   ;MANUEL RUIZ         ;  ;0;500;0;-;Abierta   
29/1/2025;PRS3396-018    ;Acianthera polystachya (Autopoli);Intermedio ;P-          ;                    ;  ;1;500;0;-;Abierta   
29/1/2025;PRS3396-018    ;Acianthera polystachya (Autopoli);Intermedio ;P-          ;                    ;  ;1;500;0;-;Abierta   
12/2/2025;PRS3396-018    ;Acianthera polystachya (Autopoli);Intermedio ;P-101 N-E   ;MANUEL RUIZ         ;  ;1;500;3;-;Cerrada   
21/3/2019;PRS3396-018    ;Acianthera polystachya (Autopoli);Intermedio ;P-102 N-E   ;MANUEL RUIZ         ;  ;0;500;0;29/4/2019;Cerrada   
12/1/2018;PRS3396-005    ;Acianthera polystachya 1 001642;Intermedio ;P-101 N-A   ;MANUEL RUIZ         ;  ;0;500;0;-;Abierta   
28/11/2014;PRS3396-005    ;Acianthera polystachya 1 001642;Intermedio ;P-116 N-C   ;MANUEL RUIZ         ;  ;1;500;0;2/1/2015;Cerrada   
13/12/2016;PRS3396-005    ;Acianthera polystachya 1 001642;Intermedio ;P-101 N-C   ;MANUEL RUIZ         ;  ;1;500;0;12/1/2017;Cerrada   
19/2/2018;PRS3396-009    ;Acianthera polystachya aff;Intermedio ;P-101 N-A   ;MANUEL RUIZ         ;  ;0;800;0;-;Abierta   
1/12/2017;PRS3396-009    ;Acianthera polystachya aff;Intermedio ;P-102 N-E   ;MANUEL RUIZ         ;  ;1;800;0;10/2/2018;Cerrada   
16/2/2011;PRS3396-004    ;Acianthera polystachya big;Intermedio ;P-119 N-E   ;EDISON LOJANO       ;  ;0;      ;0;-;Cerrada   
31/7/2015;PRS3396-011    ;Acianthera polystachya type;Intermedio ;P-101 N-E   ;MANUEL RUIZ         ;  ;0;400;0;16/10/2015;Abierta   
